Administrative District,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multi-Racial,% Multi-Racial,# Native American,% Native American,# White,% White,# Missing Race/Ethnicity Data,% Missing Race/Ethnicity Data,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
1,2020-21,11021,832,728,762,746,787,775,788,755,752,756,830,894,825,791,5278,0.479,5743,0.521,2331,0.212,1630,0.148,4483,0.407,427,0.039,57,0.005,1992,0.181,101,0.009,2455,0.223,915,0.083,6960,0.632,0.663
2,2020-21,60327,2603,2695,2622,2506,2600,2525,2481,2625,2638,2674,9135,8992,8535,7696,31440,0.521,28887,0.479,13455,0.223,8338,0.138,19782,0.328,2169,0.036,352,0.006,15503,0.257,728,0.012,10829,0.18,4818,0.08,31697,0.525,0.533
3,2020-21,21084,1168,1166,1195,1153,1131,1185,1257,1324,1342,1427,2025,2478,2090,2143,11412,0.541,9672,0.459,2007,0.095,4057,0.192,6778,0.321,903,0.043,122,0.006,6669,0.316,548,0.026,3948,0.187,937,0.044,9927,0.471,0.493
4,2020-21,12336,1242,711,711,770,734,776,871,977,944,953,918,932,897,900,6428,0.521,5908,0.479,1176,0.095,2895,0.235,7156,0.58,224,0.018,126,0.01,630,0.051,129,0.01,2922,0.237,1190,0.096,9989,0.81,0.825
5,2020-21,9998,1246,489,563,568,575,636,690,665,642,700,901,853,734,736,4656,0.466,5342,0.534,368,0.037,4669,0.467,3937,0.394,149,0.015,88,0.009,634,0.063,153,0.015,2487,0.249,791,0.079,7984,0.799,0.825
6,2020-21,20670,2451,1309,1341,1400,1430,1526,1522,1388,1424,1531,1627,1308,1126,1287,10184,0.493,10486,0.507,321,0.016,1492,0.072,17000,0.822,316,0.015,61,0.003,1316,0.064,164,0.008,4310,0.209,4977,0.241,16907,0.818,0.816
7,2020-21,17533,1865,857,964,994,1060,1051,1156,1064,1035,1078,1738,1821,1513,1337,8230,0.469,9303,0.531,198,0.011,4581,0.261,12140,0.692,83,0.005,164,0.009,272,0.016,95,0.005,4234,0.241,2679,0.153,15896,0.907,0.919
8,2020-21,25731,2373,1601,1759,1773,1811,1908,2045,1981,1914,2045,1723,1855,1534,1409,12603,0.49,13128,0.51,1713,0.067,5266,0.205,16661,0.648,167,0.006,304,0.012,1549,0.06,71,0.003,5773,0.224,3491,0.136,21245,0.826,0.831
9,2020-21,31124,3212,1761,2077,2149,2280,2332,2409,2216,2402,2448,2119,2156,1816,1747,15491,0.498,15633,0.502,426,0.014,8290,0.266,21467,0.69,120,0.004,198,0.006,423,0.014,200,0.006,6907,0.222,6558,0.211,28417,0.913,0.93
10,2020-21,50700,3419,3141,3407,3478,3723,3748,3761,3666,3541,3740,4103,3921,3616,3436,24881,0.491,25819,0.509,3959,0.078,7484,0.148,35213,0.695,389,0.008,430,0.008,2995,0.059,230,0.005,10162,0.2,10187,0.201,41764,0.824,0.835
11,2020-21,36222,2553,2360,2520,2788,2743,2774,3001,2888,2935,3167,2421,2301,1951,1820,17372,0.48,18850,0.52,3335,0.092,13039,0.36,15745,0.435,298,0.008,459,0.013,3264,0.09,82,0.002,7392,0.204,4316,0.119,28798,0.795,0.785
12,2020-21,19245,1046,1248,1473,1437,1522,1569,1692,1414,1454,1501,1162,1386,1211,1130,9440,0.491,9805,0.509,607,0.032,4521,0.235,13434,0.698,79,0.004,229,0.012,285,0.015,90,0.005,4449,0.231,3945,0.205,17696,0.92,0.933
13,2020-21,20653,1181,1047,949,1040,1011,969,957,681,660,672,2874,3051,2818,2743,9813,0.475,10840,0.525,4343,0.21,8118,0.393,3583,0.173,559,0.027,167,0.008,3637,0.176,246,0.012,2860,0.138,875,0.042,12761,0.618,0.597
14,2020-21,17576,1502,1086,1053,1069,1096,1115,1105,1143,1181,1207,1643,1572,1460,1344,8442,0.48,9134,0.52,1050,0.06,3452,0.196,9532,0.542,327,0.019,97,0.006,2935,0.167,183,0.01,3708,0.211,1724,0.098,12592,0.716,0.741
15,2020-21,31261,2496,2594,2687,2676,2699,2710,2633,2104,2085,2217,1519,1809,1565,1467,15653,0.501,15608,0.499,5281,0.169,4028,0.129,11115,0.356,1183,0.038,148,0.005,9250,0.296,256,0.008,6527,0.209,4380,0.14,17432,0.558,0.572
16,2020-21,6302,1029,446,434,431,455,432,470,348,287,307,388,411,442,422,3018,0.479,3284,0.521,146,0.023,4434,0.704,1270,0.202,72,0.011,62,0.01,268,0.043,50,0.008,1477,0.234,324,0.051,5146,0.817,0.811
17,2020-21,20533,1862,1028,1128,1034,1201,1178,1231,1388,1474,1533,2032,1859,1768,1817,10400,0.507,10133,0.493,625,0.03,14702,0.716,3461,0.169,236,0.011,273,0.013,1027,0.05,209,0.01,3867,0.188,1962,0.096,16195,0.789,0.763
18,2020-21,12602,1118,772,764,786,880,931,1013,942,940,1057,863,893,770,873,6037,0.479,6565,0.521,286,0.023,10372,0.823,1155,0.092,95,0.008,113,0.009,525,0.042,56,0.004,2556,0.203,902,0.072,9659,0.766,0.729
19,2020-21,20872,2330,1230,1358,1379,1432,1485,1545,1424,1563,1587,1641,1511,1233,1154,9896,0.474,10976,0.526,1786,0.086,8544,0.409,9418,0.451,174,0.008,323,0.015,440,0.021,187,0.009,4361,0.209,2698,0.129,18181,0.871,0.864
20,2020-21,52641,4184,3719,3800,3683,4101,3948,3860,4061,3982,4119,3772,3640,2963,2809,25365,0.482,27276,0.518,23201,0.441,1258,0.024,14064,0.267,424,0.008,197,0.004,13295,0.253,202,0.004,8502,0.162,11853,0.225,39766,0.755,0.746
21,2020-21,36039,2746,1924,2086,2043,2070,2094,2082,3304,3157,3172,3261,3238,2436,2426,17598,0.488,18441,0.512,9386,0.26,4548,0.126,9056,0.251,301,0.008,281,0.008,12059,0.335,408,0.011,6505,0.18,6796,0.189,25756,0.715,0.731
22,2020-21,33431,2697,2264,2398,2409,2500,2464,2550,1960,1983,1986,2629,2706,2490,2395,16477,0.493,16954,0.507,7353,0.22,8942,0.267,5157,0.154,445,0.013,294,0.009,11031,0.33,209,0.006,5836,0.175,4148,0.124,22918,0.686,0.634
23,2020-21,8309,1097,567,562,561,607,599,641,705,749,818,388,343,351,321,3767,0.453,4542,0.547,117,0.014,5969,0.718,1834,0.221,110,0.013,91,0.011,129,0.016,59,0.007,1993,0.24,413,0.05,7253,0.873,0.887
24,2020-21,55158,3531,4082,4074,4267,4336,4417,4356,4009,4278,4311,3575,3552,3046,3324,26309,0.477,28849,0.523,10921,0.198,1371,0.025,34902,0.633,279,0.005,322,0.006,7063,0.128,300,0.005,9495,0.172,12847,0.233,41793,0.758,0.725
25,2020-21,37515,2907,2683,2755,2751,2851,2789,2625,2780,2810,2887,2465,2658,2434,2120,18279,0.487,19236,0.513,18682,0.498,2329,0.062,11404,0.304,419,0.011,231,0.006,4209,0.112,241,0.006,5567,0.148,7201,0.192,25917,0.691,0.636
26,2020-21,31661,1694,1670,1695,1736,1833,1722,1795,1927,1997,2167,3898,3414,3164,2949,15492,0.489,16169,0.511,17039,0.538,3434,0.108,5603,0.177,481,0.015,355,0.011,4600,0.145,149,0.005,4598,0.145,2928,0.092,17874,0.565,0.482
27,2020-21,43662,4576,2787,2986,3023,3040,3142,3173,3408,3451,3662,2853,2791,2381,2389,20811,0.477,22851,0.523,9729,0.223,9159,0.21,17571,0.402,472,0.011,1970,0.045,4526,0.104,235,0.005,7713,0.177,4552,0.104,32446,0.743,0.691
28,2020-21,40681,3259,2529,2655,2530,2511,2518,2547,2484,2546,2572,3881,3743,3533,3373,20299,0.499,20382,0.501,12528,0.308,7444,0.183,11559,0.284,827,0.02,1488,0.037,6454,0.159,381,0.009,6137,0.151,4436,0.109,26769,0.658,0.614
29,2020-21,24612,1958,1801,1983,2045,2080,2104,2240,2110,2172,2251,1041,1033,888,906,11810,0.48,12802,0.52,4265,0.173,14046,0.571,4388,0.178,302,0.012,1010,0.041,483,0.02,118,0.005,4042,0.164,2372,0.096,17625,0.716,0.645
30,2020-21,37978,2919,2550,2683,2635,2627,2662,2830,3061,3063,3163,2832,2555,2183,2215,18890,0.497,19088,0.503,8020,0.211,2356,0.062,19852,0.523,676,0.018,259,0.007,6600,0.174,215,0.006,5778,0.152,6430,0.169,26691,0.703,0.677
31,2020-21,63051,6096,4033,4230,4156,4413,4485,4499,4295,4339,4427,4763,4652,4545,4118,30819,0.489,32232,0.511,8213,0.13,7524,0.119,18320,0.291,1116,0.018,300,0.005,27274,0.433,304,0.005,14980,0.238,4363,0.069,35631,0.565,0.528
